;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
43;11110829;11313046;12151788;12880783;14741654;15608635;16616832;17512615;18493928;19335198;20962233;21285044;22563375;23396079;24801219;25681758;26742068;28871034
44;10815144;11463181;11805340;12692470;14670575;15704153;16463149;17260355;19144586;19369489;20938958;21253975;23015331;22847714;24262376;25652392;25903464;27859558
45;10852223;11409740;12499413;12514164;15601515;15708298;16460963;17392455;18378168;19244522;19853040;21959916;22815889;23586661;24576182;25752642;25967384;28076368
46;11163281;11133304;12486175;14662467;15185053;15777860;17174919;17157270;18579347;19452415;20525535;20728550;22483790;24073267;22956667;26025370;27221253;28874449
47;10694466;11275469;12161907;14584547;15110022;15953488;16861153;17921372;17598162;19272913;20600979;21803125;22267183;23714265;25375171;25994970;27455078;28951452
48;11108633;11523278;12202101;12684717;15358857;15784432;16275018;17376705;17606317;19450692;21179549;21145314;21709684;23809145;24012545;25390202;26384513;29162176
49;10875906;11433787;11906220;12459213;15110000;15925033;18633786;18176625;18848558;19172652;20026224;21868203;22624607;23295017;25570387;26862477;26562059;27917578
50;10680681;11295342;12471265;14594740;15013829;16234297;17190750;17404721;18353286;18353589;19782476;21425243;22507663;23544046;24929553;25632124;26045569;28892503
51;10806028;11702561;12191447;12762879;15509912;15883354;16677831;17094121;17960641;19349230;20404404;20656043;22750057;24133276;24396046;26321462;26711670;28220517
52;11026450;11811663;12414268;12832975;15166099;16268374;16427198;17688985;18382275;19097080;19561061;20869449;22494828;23660030;23733146;25712496;27045838;28660251
53;10659849;11723198;12377159;12595200;14766185;15852013;16952445;17280517;18255038;19631624;20368513;21368043;22062190;23749406;25228353;25711137;25146374;28974380
54;10913709;11248000;11880658;12880826;15536896;16055246;16445387;17488322;18296070;19429003;19924114;21777105;21094258;23792983;24657460;26246097;27459665;28987910
55;10865104;11587893;12191626;14594739;15485713;16141324;16447211;18002726;17719567;19694255;21092129;21154218;21763774;22212022;25424131;26737601;26117505;28654963
56;10988031;11276236;11771975;12948699;15099603;15746001;16340599;17274019;18703089;18412112;19722170;21881848;22699495;23238432;24505494;26188260;26493732;28137626
57;10782616;11234742;11891835;12595184;15288371;16116098;16289998;17555989;18465389;19428529;20107051;21177048;22993416;23567923;24532997;25863238;26948895;27448367
58;10998123;11554801;11912111;12948697;15528098;16023374;16553630;18007186;17716820;19153871;19878688;21994385;22093966;23321810;24391486;25640962;27480740;28541428
59;10966179;11304079;12414263;12668222;15464352;16019230;16423461;17878731;18621359;19796632;20946366;21502953;22457612;22505321;25024190;25862263;26151100;27981674
60;11034857;11733724;12151803;12454910;15707796;15728652;16513868;17308328;18096407;19922343;20452436;21807006;22514287;22840336;23645715;26490568;26655466;28320847
61;11186162;11467909;12486176;12754178;15076750;15737663;16990015;16966490;18400954;19150501;20817780;21653801;22378892;24182659;24241476;26545233;26748167;27870414
62;11100155;11502423;12202083;12566282;15275905;15955502;16488157;17869005;18303982;19361566;19260039;20378581;22521251;22798396;23682688;26218102;27364606;28893526
63;11130759;11467900;12062884;12968055;15488301;15753243;16682637;17718360;18291680;18823230;20502888;21856337;22957066;23321153;24438492;26397824;27060129;28223239
64;11090721;11329187;12030824;12595193;15149310;15982085;17178411;17698540;18567624;19368905;20079855;21557652;22210355;23262080;25279788;25277964;27003211;27859982
65;10724112;11447339;12414298;12948713;15327927;16429377;17075857;17916338;17652461;19442752;21206465;21385619;21917846;22461315;24495967;26358975;27247125;28062251
66;10805331;11564318;11969332;12493600;15201318;15878674;16480749;17259752;17986682;19625980;20616143;21452935;22569644;22488451;24440115;25710328;27607439;28801254
67;10944412;11238542;12495634;12811733;15027530;15295012;16824963;17442593;18275996;18483003;20926674;22019773;22227134;23174092;25082823;26211895;26209358;29259158
68;10793250;11157563;12368810;14642465;15200708;15831067;16943547;17855612;18675364;19455919;19642884;21268667;22888581;24039911;24211223;25691911;26893259;28931014
69;10678834;11209950;11999890;14625149;15050602;15862227;16716389;17064731;18786365;19357393;19878726;21237617;22075266;23521479;24699014;25785510;26526045;28025253
70;10975903;11418492;11826125;12725773;15571794;15513939;16919185;17267796;18446830;19294957;20731964;21629791;22144291;23296017;23314011;25588194;26621704;28086129
71;10601675;11160524;12149449;12843312;15100605;15770151;16543138;17482797;18391194;19656273;19945535;21546091;21667223;24100194;25283470;25809680;27498370;28753443
